agent_number,season,trend_likelihood,period_start,period_end,p_value,slope,conf_low,conf_high,conf_level,intercept,r_squared,sigma,trend_method,n,note,s,var_s,tau,z,alternative,lat,lon,site
3715,Winter,NA,1960-06-01,2019-08-31,0.21349698879185525,0.655232008891359,-0.3657643858342865,1.6762284036170045,0.95,230.6087570621468,0.026553517633879004,69.87986270041782,Linear model,60,NA,NA,NA,NA,NA,NA,-39.93704,175.04509,Whanganui
37662,Winter,NA,1960-06-01,2019-08-31,0.9845118454156359,-0.013359266462904716,-1.356344496843356,1.3296259639175465,0.95,292.2241242937851,6.553723187004754e-6,91.91768354176504,Linear model,60,NA,NA,NA,NA,NA,NA,-40.957,175.707,Masterton
3909,Winter,NA,1960-06-01,2019-08-31,0.07632353789521364,1.773181439288692,-0.15261754164504704,3.698980420222431,0.95,649.051299435028,0.0531651300371747,131.80709459058968,Linear model,60,NA,NA,NA,NA,NA,NA,-42.71228,170.98428,Hokitika
3925,Winter,NA,1960-06-01,2019-08-31,0.7764006919997816,0.2510086135037527,-1.4731414970864054,1.9751587240939106,0.95,524.9475706214688,0.0014018000407189431,118.00567918295714,Linear model,60,NA,NA,NA,NA,NA,NA,-42.11578,171.86014,Reefton
4107,Winter,NA,1960-06-01,2019-08-31,0.02883140124508873,5.085109752709091,0.6388027275126404,9.531416777905541,0.95,1136.3324858757057,0.07972382589363888,304.3177488673915,Linear model,60,NA,NA,NA,NA,NA,NA,-44.67384,167.92406,Milford Sound
4241,Winter,NA,1960-06-01,2019-08-31,0.9114082054998534,-0.06509308141150129,-1.2067588258362698,1.076572663013267,0.95,266.32033898305065,2.152615250373684e-4,78.13881212735413,Linear model,60,NA,NA,NA,NA,NA,NA,-41.299,173.226,Nelson
4326,Winter,NA,1960-06-01,2019-08-31,0.6954779006253704,0.1873909419283133,-0.7462491256077187,1.1210310094643452,0.95,197.52457627118642,0.0026610265315274934,63.900950158162146,Linear model,60,NA,NA,NA,NA,NA,NA,-41.52133,173.86439,Blenheim
4843,Winter,NA,1960-06-01,2019-08-31,0.7226508935771248,0.20420394554042892,-0.9180071848438767,1.3264150759247346,0.95,178.99011299435014,0.002188244869918352,76.80728366647011,Linear model,60,NA,NA,NA,NA,NA,NA,-43.493,172.537,Christchurch
4970,Winter,NA,1960-06-01,2019-08-31,0.3697312299092922,-0.3940372325645998,-1.2483433230013998,0.46026885787220023,0.95,178.05480225988686,0.013894378913805336,58.471109802396626,Linear model,60,NA,NA,NA,NA,NA,NA,-44.002,170.441,Lake Tekapo
5086,Winter,NA,1960-06-01,2019-08-31,0.6371858045768355,0.2206585162545152,-0.6914980297144526,1.132815062223483,0.95,117.28158192090395,0.003860919936895112,62.43055756404205,Linear model,60,NA,NA,NA,NA,NA,NA,-44.30517,171.22141,Timaru
5212,Winter,NA,1960-06-01,2019-08-31,0.7749877970803335,0.09633787163100876,-0.5611241181616982,0.7537998614237158,0.95,115.77836158192089,0.001420050617765268,44.99854633649652,Linear model,60,NA,NA,NA,NA,NA,NA,-44.52612,169.88948,Tara Hills
5451,Winter,NA,1960-06-01,2019-08-31,0.3384954944261115,0.3491664351208673,-0.3599257484520245,1.0582586186937593,0.95,152.60875706214682,0.01580551664549807,48.53226190218643,Linear model,60,NA,NA,NA,NA,NA,NA,-45.01758,168.74005,Queenstown
5778,Winter,NA,1960-06-01,2019-08-31,0.8518318367741288,0.07402056126701895,-0.6992449057436497,0.8472860282776876,0.95,187.64903954802259,6.065298963405568e-4,52.9244617755972,Linear model,60,NA,NA,NA,NA,NA,NA,-46.115,168.887,Gore
5814,Winter,NA,1960-06-01,2019-08-31,0.29503504544034537,0.45836065573770424,-0.39181408480176894,1.3085353962771773,0.95,239.39333333333337,0.018887960362408723,58.18834860452759,Linear model,60,NA,NA,NA,NA,NA,NA,-46.41741,168.33052,Invercargill
1056,Spring,NA,1960-09-01,2019-11-30,0.2698269339386683,-1.0069408168935807,-2.7783681192173337,0.7644864854301723,0.95,389.55169491525436,0.0209523736526411,121.24146305474319,Linear model,60,NA,NA,NA,NA,NA,NA,-35.183,173.926,Kerikeri
1287,Spring,NA,1960-09-01,2019-11-30,0.023067623265097984,-1.8369408168935786,-3.379336230592247,-0.2945454031949102,0.95,353.9583615819207,0.08587606700942076,105.56587691769424,Linear model,60,NA,NA,NA,NA,NA,NA,-35.769,174.364,Whangarei
1400,Spring,NA,1960-09-01,2019-11-30,0.05667532076670317,-0.9773020283412039,-1.962315983819455,0.007711927137047048,0.95,274.3493785310733,0.06120829277194933,67.41712343197042,Linear model,60,NA,NA,NA,NA,NA,NA,-36.606,174.835,Whangaparaoa
15752,Spring,NA,1960-09-01,2019-11-30,0.45327930853177056,0.22238677410391886,-0.3548929121182366,0.7996664603260742,0.95,152.9322033898304,0.009733424584043495,39.510644132866325,Linear model,60,NA,NA,NA,NA,NA,NA,-45.90129,170.5147,Dunedin
1615,Spring,NA,1960-09-01,2019-11-30,0.0020875495337695704,-1.9588080022228371,-3.15024781426347,-0.7673681901822045,0.95,328.5386440677964,0.15183979343550938,81.54548920183345,Linear model,60,NA,NA,NA,NA,NA,NA,-37.673,176.196,Tauranga
1770,Spring,NA,1960-09-01,2019-11-30,0.012372556118346676,-1.7218310641844952,-3.028880285908469,-0.4147818424605214,0.95,365.0441807909605,0.10308951180999727,89.45812211345023,Linear model,60,NA,NA,NA,NA,NA,NA,-38.10595,176.31485,Rotorua
1858,Spring,NA,1960-09-01,2019-11-30,0.5362475058761433,-0.29024451236454496,-1.204527651567921,0.6240386268388313,0.95,230.4474576271186,0.006630490045184843,62.57610758165992,Linear model,60,NA,NA,NA,NA,NA,NA,-38.74263,176.08104,Taupo
1962,Spring,NA,1960-09-01,2019-11-30,0.20276111905243355,-0.6168769102528453,-1.5553747402594968,0.32162091975380613,0.95,274.79807909604494,0.02781926698478828,64.23342907408363,Linear model,60,NA,NA,NA,NA,NA,NA,-37.00813,174.78873,Auckland
2112,Spring,NA,1960-09-01,2019-11-30,0.6346145162704306,-0.24806057238121607,-1.2656983194301825,0.7695771746677503,0.95,308.820847457627,0.003920048630267408,69.64998741416032,Linear model,60,NA,NA,NA,NA,NA,NA,-37.86088,175.33175,Hamilton
2250,Spring,NA,1960-09-01,2019-11-30,0.44090184236778596,0.5115198666296206,-0.7804393925185202,1.8034791257777614,0.95,341.35864406779643,0.010275662043637456,88.42532266538069,Linear model,60,NA,NA,NA,NA,NA,NA,-38.88784,175.25981,Taumarunui
