X,Y,OBJECTID,Siteno,Name,NZTM_E,NZTM_N,Region,Operator,Funder,Area_km2,No_years,L1_mean,L2,Lcv,T3_Lskew,T4_Lkurt,Gumb_u,Gumb_alpha,GEV_u,GEV_alpha,GEV_k,GEV_z,Data_2_33y,Data_5y,Data_10y,Data_20y,Data_50y,Data_100y,Data_250y,Data_500y,Data_1000y,se_2_33y,se_5y,se_10y,se_20y,se_50y,se_100y,se_250y,se_500y,se_1000y
1879746,5779870,77,1014641,Ngongotaha at SH5 Br,1879746,5779870,BoPRC,NIWA,MBIE,73.3,39,23.4931,6.561,0.27927,0.11665,0.056089,18.0294,9.4655,18.4053,10.1768,0.084679,0.70459,23.50602769,32.22708194,39.33025194,46.14378313,54.96320037,61.57211251,70.27382569,76.84429956,83.41002287,7%,8%,9%,9%,10%,11%,11%,12%,12%
1882089,5773276,78,1014645,Pomare at Diana Place,1882089,5773276,BoPRC,NIWA,MBIE,0.81,10,1.9022,0.23655,0.12436,-0.15206,0.072875,1.7052,0.34127,1.8144,0.46495,0.57797,2.4352,1.902654834,2.217084519,2.473182858,2.718838533,3.036814606,3.275092927,3.588825287,3.825717751,4.062438938,8%,11%,13%,15%,17%,19%,21%,22%,23%
1885651,5772996,79,1014646,Te Ngae Drain at Te Ngae Rd,1885651,5772996,BoPRC,NIWA,MBIE,0.92,10,1.4847,0.13638,0.091853,0.054832,0.10748,1.3712,0.19675,1.3894,0.22772,0.18768,0.79076,1.485037251,1.666313192,1.813959772,1.955585915,2.138906431,2.27627936,2.457153278,2.593727229,2.730202435,5%,7%,9%,10%,12%,13%,15%,16%,17%
1885164,5769569,80,1114629,Waipa at Retail Yard,1885164,5769569,BoPRC,NIWA,Rotorua District Council,25.8,26,3.21,0.42419,0.13215,0.21504,0.055974,2.8567,0.61198,2.8379,0.5718,-0.068989,-0.4687,3.210784476,3.774633273,4.233879797,4.674400089,5.24460842,5.671899324,6.234497648,6.659303373,7.083801958,4%,5%,6%,6%,7%,8%,9%,9%,10%
1891501,5815114,81,1114651,Raparapahoe at Above Drop Structure,1891501,5815114,BoPRC,BOPRC,BoPRC,46.36,21,47.1746,10.1703,0.21559,-0.038972,0.23331,38.7054,14.6726,41.4385,18.5887,0.35505,2.1679,47.1947949,60.71341945,71.72413965,82.28588681,95.95698515,106.2015495,119.6901932,129.8751739,140.0527907,9%,10%,12%,13%,15%,16%,17%,17%,18%
1922838,5736886,82,15408,Rangitaiki at Murupara,1922838,5736886,BoPRC,NIWA,"TrustPower Generation,MBIE",1184,65,39.3032,6.9159,0.17596,0.29348,0.27842,33.5441,9.9775,32.7962,8.1616,-0.18358,-1.97,39.3169649,48.50975122,55.99714001,63.1792231,72.47569296,79.44208891,88.61448797,95.54036648,102.4612375,3%,3%,4%,4%,5%,5%,6%,6%,6%
1926945,5734489,83,15410,Whirinaki at Galatea,1926945,5734489,BoPRC,NIWA,"MBIE,TrustPower Generation",534,59,105.2383,32.3597,0.30749,0.4276,0.28748,78.2909,46.6851,72.3081,28.9811,-0.36558,-3.7414,105.3023533,148.3157483,183.3495237,216.9547622,260.4532964,293.0493267,335.9673289,368.3737765,400.7567937,4%,4%,4%,5%,5%,5%,5%,6%,6%
1933490,5782948,84,15412,Rangitaiki at Te Teko,1933490,5782948,BoPRC,NIWA,"TrustPower Generation,MBIE",2893,62,262.1254,65.1306,0.24847,0.36816,0.24353,207.8882,93.9635,197.7468,66.4576,-0.28692,-3.0102,262.2543831,348.8278109,419.3405904,486.9781413,574.5280131,640.1343219,726.515752,791.7404862,856.9180618,3%,4%,4%,5%,5%,5%,6%,6%,6%
1931232,5752542,85,15432,Rangitaiki at Kopuriki,1931232,5752542,BoPRC,NIWA,MBIE,2318,12,240.6383,80.6092,0.33498,0.41136,0.11605,173.5113,116.2945,159.1908,74.9152,-0.3444,-1.5896,240.7979387,347.9460708,435.2166431,518.9286714,627.2853053,708.4833543,815.3938591,896.11965,976.7870748,10%,10%,11%,11%,12%,13%,13%,14%,14%
1935625,5759288,86,15453,Waihua at Gorge,1935625,5759288,BoPRC,NIWA,TrustPower Generation,44.8,34,49.8908,15.2474,0.30562,0.31386,0.26138,37.1936,21.9973,35.3278,17.3268,-0.2123,-1.6494,49.92098072,70.18822987,86.69560521,102.529876,123.0257152,138.3844626,158.6067641,173.8761831,189.134562,6%,6%,7%,8%,8%,9%,9%,9%,10%
1954365,5775170,87,15511,Waimana at Gorge,1954365,5775170,BoPRC,BOPRC,BoPRC,440,61,422.2818,130.1896,0.3083,0.26457,0.15895,313.8669,187.8239,302.6321,161.7242,-0.1421,-1.4787,422.5396137,595.5914781,736.5396678,871.7405554,1046.744236,1177.884868,1350.552948,1480.930849,1611.214486,5%,5%,6%,6%,7%,7%,7%,8%,8%
1950805,5786077,88,15514,Whakatane at Whakatane,1950805,5786077,BoPRC,NIWA,MBIE,1557,57,946.1856,308.0407,0.32556,0.38928,0.252,689.6659,444.4088,638.2447,300.5567,-0.31522,-3.1709,946.7956384,1356.25243,1689.748943,2009.646806,2423.721777,2734.012698,3142.561418,3451.047648,3759.310837,4%,4%,5%,5%,6%,6%,6%,6%,6%
1951898,5791185,89,15534,Wairere at Wainui Rd,1951898,5791185,BoPRC,NIWA,MBIE,2.59,35,1.6953,0.49345,0.29108,0.28283,0.15832,1.2843,0.71189,1.2348,0.59363,-0.16839,-1.3273,1.696191235,2.352092277,2.886313997,3.398752296,4.062051111,4.559100233,5.213546654,5.707704875,6.201505812,6%,6%,7%,8%,9%,9%,9%,10%,10%
1960363,5751447,90,15536,Waimana at Ogilvies Br,1960363,5751447,BoPRC,BOPRC,BoPRC,207,28,186.4455,42.0733,0.22566,-0.013148,0.042251,151.4091,60.6989,161.0557,75.2063,0.30753,2.1682,186.5287742,242.4538073,288.0039214,331.6966844,388.2524844,430.6330979,486.4341035,528.568226,570.6718848,8%,9%,10%,11%,13%,13%,14%,15%,15%
1959559,5753849,91,15544,Waimana at Ranger Station,1959559,5753849,BoPRC,BOPRC,BoPRC,216,18,230.9927,71.1652,0.30808,0.21761,0.053524,171.7301,102.6697,168.4152,95.5395,-0.07286,-0.41187,231.1335886,325.7284885,402.7746384,476.6791552,572.3409714,644.0260411,738.4111535,809.6792937,880.8959059,11%,11%,12%,13%,14%,14%,15%,15%,16%
1962832,5777384,92,15605,Nukuhou at Old Quarry Road,1962832,5777384,BoPRC,BOPRC,BoPRC,67.07,19,44.1076,13.8133,0.31317,0.22122,0.01534,32.6046,19.9284,31.9165,18.4387,-0.07826,-0.45451,44.13493936,62.49600403,77.45082025,91.795839,110.3639944,124.2782139,142.5985584,156.431851,170.2551419,10%,10%,11%,12%,13%,14%,15%,15%,15%
1956117,5781880,93,15606,Wainui at Pines,1956117,5781880,BoPRC,BOPRC,BoPRC,2.4,11,2.8879,0.6661,0.23065,0.068794,0.14321,2.3332,0.96098,2.4102,1.0949,0.16394,0.72445,2.889211798,3.774612328,4.495757994,5.18749823,6.082885012,6.753851404,7.637288342,8.304352309,8.970933978,13%,14%,16%,18%,19%,21%,22%,23%,23%
